Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,1.820000,1.830000,1.800000,1.830000,1.830000,23800
2020-07-28,1.800000,1.800000,1.740000,1.740000,1.740000,40600
2020-07-29,1.800000,1.800000,1.760000,1.760000,1.760000,45100
2020-07-30,1.740000,1.760000,1.730000,1.760000,1.760000,23200
2020-07-31,1.730000,1.760000,1.680000,1.700000,1.700000,165900
2020-08-03,1.700000,1.790000,1.700000,1.770000,1.770000,47600
2020-08-04,1.740000,1.770000,1.720000,1.750000,1.750000,31300
2020-08-05,1.750000,1.830000,1.750000,1.830000,1.830000,88900
2020-08-06,1.790000,1.850000,1.790000,1.850000,1.850000,30900
2020-08-07,1.730000,1.780000,1.730000,1.770000,1.770000,32700
2020-08-10,1.780000,1.820000,1.740000,1.790000,1.790000,71600
2020-08-11,1.770000,1.770000,1.740000,1.750000,1.750000,71900
2020-08-12,1.750000,1.770000,1.720000,1.720000,1.720000,44200
2020-08-13,1.770000,1.780000,1.750000,1.750000,1.750000,54200
2020-08-14,1.760000,1.780000,1.750000,1.750000,1.750000,19100
2020-08-17,1.750000,1.780000,1.740000,1.780000,1.780000,20400
2020-08-18,1.760000,1.790000,1.760000,1.790000,1.790000,33600
2020-08-19,1.750000,1.760000,1.730000,1.730000,1.730000,18700
2020-08-20,1.700000,1.710000,1.650000,1.660000,1.660000,107000
2020-08-21,1.630000,1.690000,1.630000,1.650000,1.650000,42000
2020-08-24,1.720000,1.730000,1.630000,1.630000,1.630000,102900
2020-08-25,1.630000,1.710000,1.630000,1.690000,1.690000,41500
2020-08-26,1.660000,1.720000,1.660000,1.720000,1.720000,30700
2020-08-27,1.720000,1.740000,1.690000,1.720000,1.720000,40100
2020-08-28,1.710000,1.730000,1.700000,1.710000,1.710000,33700
2020-08-31,1.680000,1.740000,1.680000,1.690000,1.690000,140400
2020-09-01,1.680000,1.770000,1.680000,1.770000,1.770000,40600
2020-09-02,1.730000,1.730000,1.650000,1.720000,1.720000,197900
2020-09-03,1.670000,1.670000,1.630000,1.660000,1.660000,95300
2020-09-04,1.640000,1.650000,1.590000,1.600000,1.600000,40900
2020-09-08,1.540000,1.600000,1.530000,1.590000,1.590000,63400
2020-09-09,1.600000,1.620000,1.510000,1.550000,1.550000,119300
2020-09-10,1.590000,1.610000,1.580000,1.610000,1.610000,65500
2020-09-11,1.580000,1.620000,1.560000,1.570000,1.570000,51900
2020-09-14,1.620000,1.620000,1.560000,1.560000,1.560000,156200
2020-09-15,1.680000,1.680000,1.660000,1.670000,1.670000,54800
2020-09-16,1.660000,1.660000,1.620000,1.650000,1.650000,22000
2020-09-17,1.620000,1.640000,1.600000,1.610000,1.610000,84300
2020-09-18,1.610000,1.640000,1.600000,1.600000,1.600000,36500
2020-09-21,1.570000,1.590000,1.550000,1.550000,1.550000,74400
2020-09-22,1.570000,1.580000,1.550000,1.560000,1.560000,19800
2020-09-23,1.540000,1.570000,1.530000,1.530000,1.530000,42000
2020-09-24,1.510000,1.540000,1.500000,1.510000,1.510000,44800
2020-09-25,1.500000,1.510000,1.470000,1.480000,1.480000,55900
2020-09-28,1.500000,1.500000,1.470000,1.470000,1.470000,54000
2020-09-29,1.490000,1.520000,1.460000,1.470000,1.470000,146800
2020-09-30,1.530000,1.530000,1.490000,1.510000,1.510000,69500
2020-10-01,1.510000,1.540000,1.490000,1.500000,1.500000,39500
2020-10-02,1.480000,1.500000,1.450000,1.470000,1.470000,35700
2020-10-05,1.470000,1.500000,1.460000,1.460000,1.460000,33900
2020-10-06,1.540000,1.560000,1.490000,1.500000,1.500000,123800
2020-10-07,1.480000,1.510000,1.480000,1.500000,1.500000,43100
2020-10-08,1.500000,1.530000,1.460000,1.460000,1.460000,69400
2020-10-09,1.520000,1.530000,1.470000,1.480000,1.480000,56700
2020-10-12,1.480000,1.520000,1.470000,1.480000,1.480000,36500
2020-10-13,1.470000,1.520000,1.450000,1.450000,1.450000,102700
2020-10-14,1.490000,1.490000,1.420000,1.430000,1.430000,168100
2020-10-15,1.430000,1.450000,1.390000,1.400000,1.400000,43200
2020-10-16,1.420000,1.440000,1.390000,1.430000,1.430000,41000
2020-10-19,1.450000,1.470000,1.410000,1.410000,1.410000,148800
2020-10-20,1.420000,1.450000,1.410000,1.410000,1.410000,37100
2020-10-21,1.450000,1.480000,1.440000,1.440000,1.440000,45200
2020-10-22,1.470000,1.550000,1.460000,1.520000,1.520000,54300
2020-10-23,1.520000,1.520000,1.470000,1.470000,1.470000,38900
2020-10-26,1.450000,1.510000,1.440000,1.440000,1.440000,44600
2020-10-27,1.420000,1.460000,1.380000,1.400000,1.400000,63600
2020-10-28,1.390000,1.390000,1.340000,1.350000,1.350000,64900
2020-10-29,1.310000,1.350000,1.310000,1.330000,1.330000,62300
2020-10-30,1.350000,1.350000,1.290000,1.330000,1.330000,154500
2020-11-02,1.340000,1.380000,1.340000,1.360000,1.360000,20900
2020-11-03,1.380000,1.430000,1.360000,1.420000,1.420000,54900
2020-11-04,1.420000,1.420000,1.370000,1.410000,1.410000,8200
2020-11-05,1.430000,1.450000,1.410000,1.450000,1.450000,18900
2020-11-06,1.400000,1.420000,1.390000,1.420000,1.420000,10700
2020-11-09,1.480000,1.490000,1.450000,1.470000,1.470000,49000
2020-11-10,1.470000,1.500000,1.470000,1.490000,1.490000,16700
2020-11-11,1.470000,1.470000,1.440000,1.450000,1.450000,9400
2020-11-12,1.440000,1.460000,1.410000,1.420000,1.420000,40200
2020-11-13,1.420000,1.460000,1.420000,1.440000,1.440000,20400
2020-11-16,1.510000,1.560000,1.510000,1.540000,1.540000,51800
2020-11-17,1.520000,1.540000,1.480000,1.530000,1.530000,18500
2020-11-18,1.560000,1.660000,1.540000,1.640000,1.640000,67300
2020-11-19,1.620000,1.620000,1.500000,1.550000,1.550000,83900
2020-11-20,1.550000,1.550000,1.510000,1.510000,1.510000,41300
2020-11-23,1.500000,1.520000,1.470000,1.500000,1.500000,59200
2020-11-24,1.490000,1.530000,1.490000,1.500000,1.500000,96500
2020-11-25,1.490000,1.520000,1.490000,1.510000,1.510000,37700
2020-11-27,1.490000,1.530000,1.490000,1.510000,1.510000,15100
2020-11-30,1.500000,1.540000,1.470000,1.540000,1.540000,158900
2020-12-01,1.500000,1.520000,1.470000,1.480000,1.480000,107700
2020-12-02,1.490000,2.570000,1.490000,1.690000,1.690000,4173800
2020-12-03,1.590000,1.690000,1.530000,1.610000,1.610000,1075900
2020-12-04,1.620000,1.620000,1.550000,1.590000,1.590000,256100
2020-12-07,1.660000,1.800000,1.620000,1.760000,1.760000,367500
2020-12-08,1.680000,1.790000,1.650000,1.770000,1.770000,493300
2020-12-09,1.720000,1.740000,1.630000,1.670000,1.670000,344000
2020-12-10,1.660000,1.750000,1.650000,1.720000,1.720000,178300
2020-12-11,1.730000,1.980000,1.700000,1.910000,1.910000,1456900
2020-12-14,1.910000,1.910000,1.720000,1.760000,1.760000,652200
2020-12-15,1.770000,1.950000,1.750000,1.880000,1.880000,404200
2020-12-16,1.770000,1.840000,1.760000,1.820000,1.820000,263600
2020-12-17,1.810000,1.810000,1.760000,1.760000,1.760000,189900
2020-12-18,1.760000,1.800000,1.720000,1.720000,1.720000,180500
2020-12-21,1.680000,1.700000,1.600000,1.660000,1.660000,406100
2020-12-22,1.660000,1.700000,1.610000,1.630000,1.630000,183100
2020-12-23,1.760000,2.000000,1.760000,1.990000,1.990000,3255900
2020-12-24,2.160000,2.300000,2.000000,2.030000,2.030000,3369200
2020-12-28,2.240000,2.260000,2.090000,2.140000,2.140000,1268300
2020-12-29,2.140000,2.200000,1.980000,2.040000,2.040000,1356300
2020-12-30,2.030000,2.130000,2.030000,2.080000,2.080000,370700
2020-12-31,2.120000,2.120000,2.030000,2.050000,2.050000,259900
2021-01-04,2.110000,2.150000,2.050000,2.090000,2.090000,700500
2021-01-05,2.030000,2.090000,2.030000,2.070000,2.070000,397100
2021-01-06,1.990000,2.090000,1.990000,2.050000,2.050000,502400
2021-01-07,2.040000,2.150000,2.040000,2.110000,2.110000,303800
2021-01-08,2.090000,2.090000,2.000000,2.060000,2.060000,384400
2021-01-11,2.040000,2.150000,2.010000,2.130000,2.130000,438100
2021-01-12,2.120000,2.140000,2.080000,2.120000,2.120000,201800
