Symbol,Name,Sector
ATVI,Activision Blizzard,Communication Services
GOOGL,Alphabet (Class A),Communication Services
GOOG,Alphabet (Class C),Communication Services
T,AT&T,Communication Services
CHTR,Charter Communications,Communication Services
CMCSA,Comcast,Communication Services
DISCA,Discovery (Series A),Communication Services
DISCK,Discovery (Series C),Communication Services
DISH,Dish Network,Communication Services
EA,Electronic Arts,Communication Services
FB,Facebook,Communication Services
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
IPG,Interpublic Group,Communication Services
LYV,Live Nation Entertainment,Communication Services
LUMN,Lumen Technologies,Communication Services
NFLX,Netflix,Communication Services
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
OMC,Omnicom Group,Communication Services
TMUS,T-Mobile US,Communication Services
TTWO,Take-Two Interactive,Communication Services
DIS,The Walt Disney Company,Communication Services
TWTR,Twitter,Communication Services
VZ,Verizon Communications,Communication Services
VIAC,ViacomCBS,Communication Services
