Symbol,Name,Sector
ADM,ADM,Consumer Staples
MO,Altria Group,Consumer Staples
BF.B,Brown_ã_Forman,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CHD,Church & Dwight,Consumer Staples
CLX,Clorox,Consumer Staples
KO,Coca-Cola Company,Consumer Staples
CL,Colgate-Palmolive,Consumer Staples
CAG,Conagra Brands,Consumer Staples
STZ,Constellation Brands,Consumer Staples
COST,Costco,Consumer Staples
EL,Estê©e Lauder Companies,Consumer Staples
GIS,General Mills,Consumer Staples
HRL,Hormel,Consumer Staples
SJM,JM Smucker,Consumer Staples
K,Kellogg's,Consumer Staples
KMB,Kimberly-Clark,Consumer Staples
KHC,Kraft Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LW,Lamb Weston,Consumer Staples
MKC,McCormick & Company,Consumer Staples
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MNST,Monster Beverage,Consumer Staples
PEP,PepsiCo,Consumer Staples
PM,Philip Morris International,Consumer Staples
PG,Procter & Gamble,Consumer Staples
SYY,Sysco,Consumer Staples
HSY,The Hershey Company,Consumer Staples
TSN,Tyson Foods,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WMT,Walmart,Consumer Staples
