Symbol,Name ,Sector
AAP,Advance Auto Parts,Consumer Discretionary
AMZN,Amazon,Consumer Discretionary
APTV,Aptiv,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
BBY,Best Buy,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
CZR,Caesars Entertainment,Consumer Discretionary
KMX,CarMax,Consumer Discretionary
CCL,Carnival Corporation,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
DHI,D. R. Horton,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
DPZ,Domino's Pizza,Consumer Discretionary
EBAY,eBay,Consumer Discretionary
ETSY,Etsy,Consumer Discretionary
EXPE,Expedia Group,Consumer Discretionary
F,Ford,Consumer Discretionary
GPS,Gap,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
HBI,Hanesbrands,Consumer Discretionary
HAS,Hasbro,Consumer Discretionary
HLT,Hilton Worldwide,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
LB,L Brands,Consumer Discretionary
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar,Consumer Discretionary
LKQ,LKQ Corporation,Consumer Discretionary
LOW,Lowe's,Consumer Discretionary
MAR,Marriott International,Consumer Discretionary
MCD,McDonald's,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
NWL,Newell Brands,Consumer Discretionary
NKE,Nike,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NVR,NVR,Consumer Discretionary
ORLY,O'Reilly Automotive,Consumer Discretionary
PENN,Penn National Gaming,Consumer Discretionary
POOL,Pool Corporation,Consumer Discretionary
PHM,PulteGroup,Consumer Discretionary
PVH,PVH,Consumer Discretionary
RL,Ralph Lauren Corporation,Consumer Discretionary
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
TPR,Tapestry,Consumer Discretionary
TGT,Target Corporation,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
VFC,VF Corporation,Consumer Discretionary
WHR,Whirlpool Corporation,Consumer Discretionary
WYNN,Wynn Resorts,Consumer Discretionary
YUM,Yum! Brands,Consumer Discretionary
