Symbol,Name,Sector
AFL,Aflac,Financials
ALL,Allstate Corp,Financials
AXP,American Express,Financials
AIG,American International Group,Financials
AMP,Ameriprise Financial,Financials
AON,Aon,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
BAC,Bank of America,Financials
BRK.B,Berkshire Hathaway,Financials
BLK,BlackRock,Financials
BK,BNY Mellon,Financials
COF,Capital One Financial,Financials
CBOE,Cboe Global Markets,Financials
SCHW,Charles Schwab Corporation,Financials
CB,Chubb,Financials
CINF,Cincinnati Financial,Financials
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CME,CME Group,Financials
CMA,Comerica,Financials
DFS,Discover Financial Services,Financials
RE,Everest Re,Financials
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
BEN,Franklin Resources,Financials
GL,Globe Life,Financials
GS,Goldman Sachs,Financials
HBAN,Huntington Bancshares,Financials
ICE,Intercontinental Exchange,Financials
IVZ,Invesco,Financials
JPM,JPMorgan Chase,Financials
KEY,KeyCorp,Financials
LNC,Lincoln National,Financials
L,Loews Corporation,Financials
MTB,M&T Bank,Financials
MKTX,MarketAxess,Financials
MMC,Marsh & McLennan,Financials
MET,MetLife,Financials
MCO,Moody's Corporation,Financials
MS,Morgan Stanley,Financials
MSCI,MSCI,Financials
NDAQ,Nasdaq,Financials
NTRS,Northern Trust,Financials
PBCT,People's United Financial,Financials
PNC,PNC Financial Services,Financials
PFG,Principal Financial Group,Financials
PGR,Progressive Corporation,Financials
PRU,Prudential Financial,Financials
RJF,Raymond James Financial,Financials
RF,Regions Financial Corporation,Financials
SPGI,S&P Global,Financials
STT,State Street Corporation,Financials
SIVB,SVB Financial,Financials
SYF,Synchrony Financial,Financials
TROW,T. Rowe Price,Financials
HIG,The Hartford,Financials
TRV,The Travelers Companies,Financials
TFC,Truist Financial,Financials
USB,U.S. Bancorp,Financials
UNM,Unum Group,Financials
WRB,W. R. Berkley Corporation,Financials
WFC,Wells Fargo,Financials
WLTW,Willis Towers Watson,Financials
ZION,Zions Bancorp,Financials
