Symbol,Name,Sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ALK,Alaska Air Group,Industrials
ALLE,Allegion,Industrials
AAL,American Airlines Group,Industrials
AME,Ametek,Industrials
BA,Boeing Company,Industrials
CHRW,C. H. Robinson,Industrials
CARR,Carrier Global,Industrials
CAT,Caterpillar,Industrials
CTAS,Cintas Corporation,Industrials
CPRT,Copart,Industrials
CSX,CSX,Industrials
CMI,Cummins,Industrials
DE,Deere & Co.,Industrials
DAL,Delta Air Lines,Industrials
DOV,Dover Corporation,Industrials
ETN,Eaton Corporation,Industrials
EMR,Emerson Electric Company,Industrials
EFX,Equifax,Industrials
EXPD,Expeditors,Industrials
FAST,Fastenal,Industrials
FDX,FedEx,Industrials
FTV,Fortive,Industrials
FBHS,Fortune Brands Home & Security,Industrials
GNRC,Generac Holdings,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
HON,Honeywell,Industrials
HWM,Howmet Aerospace,Industrials
HII,Huntington Ingalls Industries,Industrials
IEX,IDEX Corporation,Industrials
INFO,IHS Markit,Industrials
ITW,Illinois Tool Works,Industrials
IR,Ingersoll Rand,Industrials
JBHT,J. B. Hunt,Industrials
J,Jacobs Engineering Group,Industrials
JCI,Johnson Controls,Industrials
KSU,Kansas City Southern,Industrials
LHX,L3Harris Technologies,Industrials
LDOS,Leidos,Industrials
LMT,Lockheed Martin,Industrials
MAS,Masco,Industrials
NLSN,Nielsen Holdings,Industrials
NSC,Norfolk Southern,Industrials
NOC,Northrop Grumman,Industrials
ODFL,Old Dominion Freight Line,Industrials
OTIS,Otis Worldwide,Industrials
PCAR,Paccar,Industrials
PH,Parker-Hannifin,Industrials
PNR,Pentair,Industrials
PWR,Quanta Services,Industrials
RTX,Raytheon Technologies,Industrials
RSG,Republic Services,Industrials
RHI,Robert Half International,Industrials
ROK,Rockwell Automation,Industrials
ROL,Rollins,Industrials
ROP,Roper Technologies,Industrials
SNA,Snap-on,Industrials
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
TDY,Teledyne Technologies,Industrials
TXT,Textron,Industrials
TT,Trane Technologies,Industrials
TDG,TransDigm Group,Industrials
UNP,Union Pacific,Industrials
UAL,United Airlines,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
VRSK,Verisk Analytics,Industrials
GWW,W. W. Grainger,Industrials
WAB,Wabtec,Industrials
WM,Waste Management,Industrials
XYL,Xylem,Industrials
