Symbol,Name,Sector
ACN,Accenture,Information Technology
ADBE,Adobe,Information Technology
AMD,Advanced Micro Devices,Information Technology
AKAM,Akamai Technologies,Information Technology
APH,Amphenol Corp,Information Technology
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
ANET,Arista Networks,Information Technology
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
AVGO,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Information Technology
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CSCO,Cisco Systems,Information Technology
CTXS,Citrix Systems,Information Technology
CTSH,Cognizant Technology Solutions,Information Technology
GLW,Corning,Information Technology
DXC,DXC Technology,Information Technology
ENPH,Enphase Energy,Information Technology
FFIV,F5 Networks,Information Technology
FIS,Fidelity National Information Services,Information Technology
FISV,Fiserv,Information Technology
FLT,Fleetcor,Information Technology
FTNT,Fortinet,Information Technology
IT,Gartner,Information Technology
GPN,Global Payments,Information Technology
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP,Information Technology
IBM,IBM,Information Technology
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
IPGP,IPG Photonics,Information Technology
JKHY,Jack Henry & Associates,Information Technology
JNPR,Juniper Networks,Information Technology
KEYS,Keysight Technologies,Information Technology
KLAC,KLA Corporation,Information Technology
LRCX,Lam Research,Information Technology
MA,Mastercard,Information Technology
MXIM,Maxim Integrated,Information Technology
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MPWR,Monolithic Power Systems,Information Technology
MSI,Motorola Solutions,Information Technology
NTAP,NetApp,Information Technology
NLOK,NortonLifeLock,Information Technology
NVDA,Nvidia,Information Technology
NXPI,NXP,Information Technology
ORCL,Oracle,Information Technology
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PTC,PTC,Information Technology
QRVO,Qorvo,Information Technology
QCOM,Qualcomm,Information Technology
CRM,Salesforce,Information Technology
STX,Seagate Technology,Information Technology
NOW,ServiceNow,Information Technology
SWKS,Skyworks Solutions,Information Technology
SNPS,Synopsys,Information Technology
TEL,TE Connectivity,Information Technology
TER,Teradyne,Information Technology
TXN,Texas Instruments,Information Technology
TRMB,Trimble,Information Technology
TYL,Tyler Technologies,Information Technology
VRSN,Verisign,Information Technology
V,Visa,Information Technology
WDC,Western Digital,Information Technology
WU,Western Union,Information Technology
XLNX,Xilinx,Information Technology
ZBRA,Zebra Technologies,Information Technology
