Symbol,Name ,Sector
APD,Air Products & Chemicals,Materials
ALB,Albemarle Corporation,Materials
AMCR,Amcor,Materials
AVY,Avery Dennison,Materials
BLL,Ball Corp,Materials
CE,Celanese,Materials
CF,CF Industries,Materials
CTVA,Corteva,Materials
DOW,Dow,Materials
DD,DuPont,Materials
EMN,Eastman Chemical,Materials
ECL,Ecolab,Materials
FMC,FMC Corporation,Materials
FCX,Freeport-McMoRan,Materials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
LIN,Linde,Materials
LYB,LyondellBasell,Materials
MLM,Martin Marietta Materials,Materials
NEM,Newmont,Materials
NUE,Nucor,Materials
PKG,Packaging Corporation of America,Materials
PPG,PPG Industries,Materials
SEE,Sealed Air,Materials
SHW,Sherwin-Williams,Materials
MOS,The Mosaic Company,Materials
VMC,Vulcan Materials,Materials
WRK,WestRock,Materials
