Symbol,Name,Sector
ARE,Alexandria Real Estate Equities,Real Estate
AMT,American Tower,Real Estate
AVB,AvalonBay Communities,Real Estate
BXP,Boston Properties,Real Estate
CBRE,CBRE,Real Estate
CCI,Crown Castle,Real Estate
DLR,Digital Realty Trust,Real Estate
DRE,Duke Realty Corp,Real Estate
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust,Real Estate
EXR,Extra Space Storage,Real Estate
FRT,Federal Realty Investment Trust,Real Estate
PEAK,Healthpeak Properties,Real Estate
HST,Host Hotels & Resorts,Real Estate
IRM,Iron Mountain,Real Estate
KIM,Kimco Realty,Real Estate
MAA,Mid-America Apartments,Real Estate
PLD,Prologis,Real Estate
PSA,Public Storage,Real Estate
O,Realty Income Corporation,Real Estate
REG,Regency Centers,Real Estate
SBAC,SBA Communications,Real Estate
SPG,Simon Property Group,Real Estate
UDR,UDR,Real Estate
VTR,Ventas,Real Estate
VNO,Vornado Realty Trust,Real Estate
WELL,Welltower,Real Estate
WY,Weyerhaeuser,Real Estate
