Symbol,Name,Sector
AES,AES Corp,Utilities
LNT,Alliant Energy,Utilities
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AWK,American Water Works,Utilities
ATO,Atmos Energy,Utilities
CNP,CenterPoint Energy,Utilities
CMS,CMS Energy,Utilities
ED,Consolidated Edison,Utilities
D,Dominion Energy,Utilities
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
EIX,Edison International,Utilities
ETR,Entergy,Utilities
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon,Utilities
FE,FirstEnergy,Utilities
NEE,NextEra Energy,Utilities
NI,NiSource,Utilities
NRG,NRG Energy,Utilities
PNW,Pinnacle West Capital,Utilities
PPL,PPL,Utilities
PEG,Public Service Enterprise Group,Utilities
SRE,Sempra Energy,Utilities
SO,Southern Company,Utilities
WEC,WEC Energy Group,Utilities
XEL,Xcel Energy,Utilities
